election_id,country_name,country_text_id,election_year,election_type,running_var,illiberal_score,other_score,backsliding_Nyr,Y_gdp_growth,Y_polyarchy,ap_name,ap_abbr,ap_score,ap_share,ap_cand,op_name,op_abbr,op_score,op_share,op_cand,group,side,in_popucut,label,op_label
parl_2945,Morocco,MAR,1993,parliamentary,-0.6006006006006022,0.985,0.853,0,0.09574491831369869,0.026999999999999996,Socialist Union of Popular Forces,USFP,0.985,15.615615615615615,NA,Constitutional Union,CU,0.853,16.216216216216218,NA,Non-OECD,lost,FALSE,Socialist Union of Popular Forces (USFP),Constitutional Union
parl_3192,Nicaragua,NIC,1984,parliamentary,48.95833333333333,0.985,0.425,0,-0.36666414531961067,0.22400000000000003,Sandinista National Liberation Front,FSLN,0.985,63.541666666666664,NA,Democratic Conservative Party,PCD,0.425,14.583333333333334,NA,Non-OECD,won,TRUE,Sandinista National Liberation Front (FSLN),Democratic Conservative Party
parl_4799,Venezuela,VEN,2000,parliamentary,28.48484848484848,0.985,0.24,0,0.055228882239186206,-0.19100000000000006,Fifth Republic Movement,MVR,0.985,46.666666666666664,NA,Democratic Action,AD,0.24,18.181818181818183,NA,Non-OECD,won,TRUE,Fifth Republic Movement (MVR),Democratic Action
pres_1082,Nicaragua,NIC,1984,presidential,52.92770350876714,0.985,0.425,0,-0.36666414531961067,0.22400000000000003,Sandinista National Liberation Front,FSLN,0.985,66.97105283033633,Daniel Ortega Saavedra,Democratic Conservative Party,PCD,0.425,14.043349321569195,Clemente Guido,Non-OECD,won,TRUE,Sandinista National Liberation Front (FSLN),Democratic Conservative Party
pres_483,Ecuador,ECU,2017,presidential,2.3200000000000003,0.985,0.257,0,0.049836576601990146,0.121,PAIS Alliance,PAIS,0.985,51.160000000000004,Lenin Moreno,"Grow, Creating Opportunities Movement",CREO,0.257,48.84,Guillermo Alberto Santiago Lasso Mendoza,Non-OECD,won,TRUE,PAIS Alliance (PAIS),"Grow, Creating Opportunities Movement"
parl_1006,Congo (DRC),COD,2006,parliamentary,9.399999999999999,0.984,0.92,0,0.14943195795344888,0.14999999999999997,People's Party for Reconstruction and Democracy,PPRD,0.984,22.2,NA,Movement for the Liberation of the Congo,MLC,0.92,12.8,NA,Non-OECD,won,FALSE,People's Party for Reconstruction and Democracy (PPRD),Movement for the Liberation of the Congo
parl_1007,Congo (DRC),COD,2011,parliamentary,5.4,0.984,0.734,0,0.19490455818484875,-0.046999999999999986,People's Party for Reconstruction and Democracy,PPRD,0.984,13.8,NA,Union for Democracy and Social Progress,UDPS,0.734,8.4,NA,Non-OECD,won,FALSE,People's Party for Reconstruction and Democracy (PPRD),Union for Democracy and Social Progress
parl_3190,Nicaragua,NIC,1972,parliamentary,20,0.984,0.539,0,0.15256846870843788,-0.0030000000000000027,Nationalist Liberal Party,PLN,0.984,60,NA,Conservative Party,PCN,0.539,40,NA,Non-OECD,won,TRUE,Nationalist Liberal Party (PLN),Conservative Party
parl_3191,Nicaragua,NIC,1974,parliamentary,20,0.984,0.539,0,-0.3080437104352356,-0.02400000000000002,Nationalist Liberal Party,PLN,0.984,60,NA,Conservative Party,PCN,0.539,40,NA,Non-OECD,won,TRUE,Nationalist Liberal Party (PLN),Conservative Party
pres_1081,Nicaragua,NIC,1974,presidential,83.4196269416062,0.984,0.539,0,-0.3080437104352356,-0.02400000000000002,Nationalist Liberal Party,PLN,0.984,91.7098134708031,Anastasio Somoza Debayle,Conservative Party,PCN,0.539,8.290186529196907,Edmundo Papuagua Irías,Non-OECD,won,TRUE,Nationalist Liberal Party (PLN),Conservative Party
