axis,axis_label,level,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R3,"R3: gap, within-country standardized",q20 (≥ 0.254),1076,119,-0.03172385269944966,0.06234731482923645,0.610875116484512,1076,-0.06465046687508262,0.03536152029745219,0.06750878469875335,1.4917138124633427,8.007686848662793,0.8522210869329545
R3,"R3: gap, within-country standardized",q40 (≥ 0.834),808,93,-0.010352748581801852,0.07330248717024357,0.8876856787054388,808,-0.0612018024967203,0.051913872415059716,0.2384338683028287,-5.545167353674994,21.034907881301685,0.7920747630193624
R3,"R3: gap, within-country standardized",q60 (≥ 1.44),538,54,0.06438133220862072,0.11571641069341511,0.5779568042686984,538,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-1.5374738469789997,4.686069735495419,0.7428401897915717
R3,"R3: gap, within-country standardized",q80 (≥ 2.09),269,34,0.16077851725569584,0.14782033946057432,0.27674449492558084,269,-0.07650261590372048,0.0806707258669322,0.3429605590907487,-0.36566708083900595,0.47994576000996725,0.44612415931608834
R4,R4: prior backsliding,all,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R4,R4: prior backsliding,no prior episode,1242,135,-0.022289764238674792,0.0637720141669359,0.7266969595033483,1242,-0.04686101037075939,0.03109412934135814,0.13179287324789274,1.1683645577029618,3.4382252629326726,0.7339949661266993
R5,R5: election type,both,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R5,R5: election type,presidential,397,58,-0.11296359586176255,0.14351630981123037,0.4312155458129387,397,-0.04489248181406952,0.03873323923412539,0.24644926537332176,0.36187075319917605,1.0949529575865524,0.7410299197243975
R5,R5: election type,parliamentary,950,84,0.00804646829845565,0.05992333535979505,0.893181658219967,950,-0.06198618244142129,0.03745739120165495,0.09795591125769221,9.798085234259425,101.07882686324544,0.922777941788975
R6,R6: less-illiberal party's score (ceiling),all,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R6,R6: less-illiberal party's score (ceiling),q80 (≤ 0.546),1077,97,-0.03463728917791663,0.061453317084976214,0.5730020215182551,1077,-0.05592250880177138,0.031218991990528695,0.0732455337327293,0.8480969894282206,1.1155717255983624,0.4471139566978827
R6,R6: less-illiberal party's score (ceiling),q60 (≤ 0.335),808,66,-0.09527688418051941,0.07002501635209288,0.1736363073928265,808,-0.015529664114452835,0.03041859035397227,0.6096787938937301,0.1346676225702828,0.26806438505175173,0.615406969584321
R6,R6: less-illiberal party's score (ceiling),q40 (≤ 0.188),541,39,-0.11258125970770481,0.08150399382471957,0.16718751865905113,541,-0.030845066452022882,0.043015083228372865,0.473327452710838,0.19359786292119577,0.3566398238090108,0.5872409333786361
R6,R6: less-illiberal party's score (ceiling),q20 (≤ 0.061),274,6,-0.08540403459171257,0.06949941392604159,0.2191297787142835,274,0.02065494591942485,0.04399467927848259,0.6387213161801593,-0.20850993942344173,0.5317201090992154,0.6949530843759102
