pair,row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R2 x R4,q80 (≥ 0.9),all,275,21,0.18497197016560857,0.19114269983016427,0.3331859082052684,275,-0.27352539274730964,0.14318402642685213,0.05609374665103389,-1.2595762836311462,1.4954927932332356,0.399648975404744
R2 x R4,q80 (≥ 0.9),no prior episode,251,20,0.15413537503840657,0.23906233530140006,0.51908938659126,251,-0.3107200882302931,0.19894108846232633,0.11831865216992815,-2.002996666495256,3.7624628430696414,0.5944744846966672
R3 x R4,all,all,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R3 x R4,all,no prior episode,1242,135,-0.022289764238674792,0.0637720141669359,0.7266969595033483,1242,-0.04686101037075939,0.03109412934135814,0.13179287324789274,1.1683645577029618,3.4382252629326726,0.7339949661266993
R3 x R4,q20 (≥ 0.254),all,1076,119,-0.03172385269944966,0.06234731482923645,0.610875116484512,1076,-0.06465046687508262,0.03536152029745219,0.06750878469875335,1.4917138124633427,8.007686848662793,0.8522210869329545
R3 x R4,q20 (≥ 0.254),no prior episode,981,112,-0.02873901666533457,0.06977284052641425,0.680417094695537,981,-0.05495847305721405,0.03906865591085006,0.1595118495168097,0.8984292450033131,1.8347722224754777,0.6243688492128079
R3 x R4,q40 (≥ 0.834),all,808,93,-0.010352748581801852,0.07330248717024357,0.8876856787054388,808,-0.0612018024967203,0.051913872415059716,0.2384338683028287,-5.545167353674994,21.034907881301685,0.7920747630193624
R3 x R4,q40 (≥ 0.834),no prior episode,733,86,0.019102703769415752,0.09018662420120156,0.832252888574871,733,-0.052591866008425164,0.05973416677273486,0.3786253811592309,3.21601863896447,78.28765267806932,0.9672325071435007
R3 x R4,q60 (≥ 1.44),all,538,54,0.06438133220862072,0.11571641069341511,0.5779568042686984,538,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-1.5374738469789997,4.686069735495419,0.7428401897915717
R3 x R4,q60 (≥ 1.44),no prior episode,491,49,0.07467070046495161,0.1329445546027499,0.5743422490272331,491,-0.12946723858038528,0.09568492109108472,0.17603713323871595,-3.0408067942317674,8.543350666926695,0.7218954435781402
R3 x R4,q80 (≥ 2.09),all,269,34,0.16077851725569584,0.14782033946057432,0.27674449492558084,269,-0.07650261590372048,0.0806707258669322,0.3429605590907487,-0.36566708083900595,0.47994576000996725,0.44612415931608834
R3 x R4,q80 (≥ 2.09),no prior episode,243,31,0.17428189966773378,0.16865605485141685,0.30143690380371235,243,-0.1123363238872592,0.10394270101439874,0.27980726601736955,-0.7242954594156719,0.799691582525796,0.3650848687575474
