subset,subset_label,window,treatment,outcome,outcome_label,panel,n_elections,first_stage_coef,first_stage_se,first_stage_pval,n_first_stage,n_outcome,rd_estimate,rd_se,rd_pval,rd_ci_lo,rd_ci_hi,bandwidth,late_estimate,late_se,late_pval,late_ci_lo,late_ci_hi
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_libdem,V-Dem high-level democracy indices: Liberal,vdem_high,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.07117667838336034,0.044078452121065974,0.10635994076161673,-0.15756885703492277,0.015215500268202092,14.062906439768286,-0.36734368879720375,0.34945764492266335,0.29317487365144035,-1.05226808696781,0.3175807093734026
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_partipdem,V-Dem high-level democracy indices: Participatory,vdem_high,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,446,-0.06291538657751611,0.030896414381725367,0.04171693349200189,-0.12347124601712317,-0.0023595271379090454,14.135478326267833,-0.3260282221040445,0.3894659025218839,0.40252724691183467,-1.0893673642533241,0.4373109200452351
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_delibdem,V-Dem high-level democracy indices: Deliberative,vdem_high,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.05637836616969259,0.04480711901970854,0.20830290136636945,-0.14419870569932097,0.031441973359935774,13.822845374116874,-0.30072966204802154,0.3168839509090063,0.34260970996468354,-0.9218107931084322,0.3203514690123891
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_egaldem,V-Dem high-level democracy indices: Egalitarian,vdem_high,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.04212807276156545,0.02714823518893662,0.12071501090342449,-0.09533763597570416,0.011081490452573256,13.827180275357563,-0.23027570149363757,0.23716841211202308,0.3315794104050808,-0.6951172475037558,0.23456584451648066
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_elecoff,V-Dem mid-level: electoral component: Elected officials,vdem_electoral,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.09620087690506793,0.06111081593077522,0.11544034776499344,-0.21597587519524392,0.023574121385108046,13.941042671740261,-0.5315994221787977,0.6819205256378419,0.43564864979107665,-1.8681390927475898,0.8049402483899945
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_frefair,V-Dem mid-level: electoral component: Clean elections,vdem_electoral,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.06838067472200683,0.06105579126966391,0.26272640564204786,-0.18804782665814312,0.05128647721412945,14.51728187531956,-0.4148395323147269,0.4921688971114934,0.3992953187725677,-1.3794728449640532,0.5497937803345992
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_frassoc,V-Dem mid-level: electoral component: Association,vdem_electoral,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.019389894857805463,0.02880420813202203,0.5008443107609903,-0.07584510539976437,0.037065315684153444,18.191001032595178,-0.15406116775842646,0.2617913555082479,0.5562045386675536,-0.6671627960185137,0.3590404605016607
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_suffr,V-Dem mid-level: electoral component: Suffrage,vdem_electoral,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.0028878800548407502,0.0017983130046620565,0.10829964726895905,-0.00641250877690839,6.367486672268895e-4,9.363377936907069,-0.01821743920161319,0.03259818500330081,0.5762652781893396,-0.08210870776945646,0.04567382936623009
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_freexp,V-Dem mid-level: electoral component: Expression & alt. info,vdem_electoral,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.02798148652918103,0.035745953532895405,0.4337518939121813,-0.09804226804669831,0.04207929498833625,21.088473289828013,-0.3634644727599511,0.44744640873520014,0.4166146964036063,-1.2404433188927313,0.5135143733728291
left,Anti-pluralist party is the more LEFT-wing of the top 2,9,backsliding_Nyr,Y_cl_rol,V-Dem mid-level: liberal component (see also Executive constraints),vdem_liberal,517,0.12302891027432314,0.11517407977405918,0.28543046822223744,517,447,-0.02952645899637355,0.028792403937101353,0.3051298026645956,-0.08595853374142144,0.02690561574867434,20.571438472477535,-0.23782599566434862,0.3112237610643972,0.44476951401443166,-0.847813358483666,0.37216136715496884
