subset,subset_label,window,treatment,outcome,outcome_label,panel,n_elections,first_stage_coef,first_stage_se,first_stage_pval,n_first_stage,n_outcome,rd_estimate,rd_se,rd_pval,rd_ci_lo,rd_ci_hi,bandwidth,late_estimate,late_se,late_pval,late_ci_lo,late_ci_hi
left,Anti-pluralist party is the more LEFT-wing of the top 2,5,backsliding_Nyr,Y_top10_share,Top-10% income share,top10,170,-0.1254499376583086,0.21576193415949466,0.560952318804913,170,142,1.5675863526290508,1.6797503655405501,0.35070340443385867,-1.724663866848417,4.859836572106518,31.761604452300453,-13.988138092426642,21.366240792122525,0.5126711653277918,-55.86520052999734,27.88892434514405
left,Anti-pluralist party is the more LEFT-wing of the top 2,5,backsliding_Nyr,Y_gini_disp,Income inequality (Gini): Disposable,gini,170,-0.1254499376583086,0.21576193415949466,0.560952318804913,170,115,1.7701447325910404,1.366635044669823,0.19523130371706102,-0.9084107349720996,4.44870020015418,30.18601633220327,-9.082599367944876,9.588412071005111,0.34351267587336626,-27.875541696044,9.710342960154247
left,Anti-pluralist party is the more LEFT-wing of the top 2,5,backsliding_Nyr,Y_gini_mkt,Income inequality (Gini): Market,gini,170,-0.1254499376583086,0.21576193415949466,0.560952318804913,170,115,1.641252831018004,1.1963585218270152,0.17010274880392243,-0.7035667843605213,3.986072446396529,30.492885749828957,-69.86667944254019,193.29616854216104,0.7177639294575322,-448.7202081347599,308.9868492496795
left,Anti-pluralist party is the more LEFT-wing of the top 2,5,backsliding_Nyr,Y_debt,Public debt and deficit: Debt / GDP,fiscal,170,-0.1254499376583086,0.21576193415949466,0.560952318804913,170,145,-30.01516024792785,44.817972692886734,0.5030410289035923,-117.85677258608544,57.826452090229736,26.40132187484471,135.12204648810325,269.2111611631668,0.6157248923679486,-392.52213362791167,662.7662266041182
left,Anti-pluralist party is the more LEFT-wing of the top 2,5,backsliding_Nyr,Y_deficit,Public debt and deficit: Deficit / GDP,fiscal,170,-0.1254499376583086,0.21576193415949466,0.560952318804913,170,114,-7.93426402644808,5.991429688425619,0.1854137540621873,-19.677250431666327,3.8087223787701667,14.170459146590643,13.792475034142742,14.59954466604836,0.34480208157579045,-14.822106701995883,42.407056770281365
left,Anti-pluralist party is the more LEFT-wing of the top 2,5,backsliding_Nyr,Y_checks_balances,Executive constraints: Checks & balances,institutions,170,-0.1254499376583086,0.21576193415949466,0.560952318804913,170,159,0.11230393937369965,0.0975667862653928,0.24971297307428197,-0.07892344779378738,0.30353132654118664,28.85169685945298,-0.679170395621701,0.6428822654757766,0.29076450099942386,-1.9391964822537406,0.5808556910103386
left,Anti-pluralist party is the more LEFT-wing of the top 2,5,backsliding_Nyr,Y_jucon,Executive constraints: Judicial constraints,institutions,170,-0.1254499376583086,0.21576193415949466,0.560952318804913,170,167,0.09092946282043829,0.09537615837682788,0.3403989467352842,-0.09600437258193248,0.2778632982228091,25.014699739894315,-0.7492066576090148,0.7589474749867847,0.32356158023822773,-2.236716374740726,0.7383030595226963
left,Anti-pluralist party is the more LEFT-wing of the top 2,5,backsliding_Nyr,Y_legcon,Executive constraints: Legislative constraints,institutions,170,-0.1254499376583086,0.21576193415949466,0.560952318804913,170,159,0.1185921258752404,0.12542031044634103,0.3443742864984021,-0.12722716552942065,0.36441141727990145,29.949758957147427,-0.6956912926777314,0.7281499392795631,0.33936376266491036,-2.122838949010702,0.7314563636552389
left,Anti-pluralist party is the more LEFT-wing of the top 2,5,backsliding_Nyr,Y_hos_power,Executive power (ET): HOS,exec_power,170,-0.1254499376583086,0.21576193415949466,0.560952318804913,170,167,0.042226475497257596,0.10428848378765143,0.6855505361749735,-0.16217519672882846,0.24662814772334363,29.441349730818814,-0.39370797153801596,0.8213690343260506,0.631702885313273,-2.003561696833518,1.2161457537574858
left,Anti-pluralist party is the more LEFT-wing of the top 2,5,backsliding_Nyr,Y_hog_power,Executive power (ET): HOG,exec_power,170,-0.1254499376583086,0.21576193415949466,0.560952318804913,170,58,-0.1076359684798392,0.13624715699336123,0.4295247059051694,-0.3746754891828017,0.1594035522231233,20.09279662713896,2.1187879509711527,12.500904244241536,0.8654106277208569,-22.38253414192615,26.620110043868458
