pair,row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R1 x R2,q80 (≥ 0.437),q80 (≥ 0.9),143,13,0.11389075712397151,0.27844307941367036,0.6825197950659343,143,-0.33016054850211385,0.24268108736163904,0.17368096701026572,-1.2686428373981826,2.6839569729154915,0.6364441413341804
R1 x R3,all,all,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
R1 x R3,all,q20 (≥ 0.254),1076,147,-0.07926670331633034,0.0656743101867723,0.22744498098562935,1076,-0.06465046687508262,0.03536152029745219,0.06750878469875335,0.61787811039802365,0.8270709242207595,0.45502259599456707
R1 x R3,all,q40 (≥ 0.834),808,113,-0.043959730430529975,0.08461877949251026,0.6034098514527184,808,-0.0612018024967203,0.051913872415059716,0.2384338683028287,0.8492617663968547,2.1890547358442625,0.6980469565375639
R1 x R3,all,q60 (≥ 1.44),538,65,0.010453831142840209,0.12561688608938587,0.9336766489216247,538,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-9.732176073683533,121.01957378250856,0.9359046536874303
R1 x R3,all,q80 (≥ 2.09),269,41,0.06236886957415566,0.16432471984845762,0.7042820929508136,269,-0.07650261590372048,0.0806707258669322,0.3429605590907487,-1.175367980993553,1.586015108626348,0.4586434428894268
R1 x R3,q20 (≥ 0.018),all,1081,152,-0.071052420988930165,0.06544680079520541,0.27763318185118185,1081,-0.06471106403744502,0.035830020061891454,0.07090941259708605,0.5084938479692162,0.5503160309110502,0.35548457933896027
R1 x R3,q20 (≥ 0.018),q20 (≥ 0.254),1016,140,-0.08034324652678336,0.06767985832979137,0.235185342152602,1016,-0.06477349480469602,0.03760173250102071,0.08495727370118299,0.4996768806206928,0.6544441694570632,0.4451572851361819
R1 x R3,q20 (≥ 0.018),q40 (≥ 0.834),773,110,-0.04350067512115645,0.08513888230442593,0.6093945958907443,773,-0.06510774090077001,0.05304883525259734,0.21970344328215555,0.91506736489554,2.7170451391459096,0.7362769510256606
R1 x R3,q20 (≥ 0.018),q60 (≥ 1.44),508,63,0.0026082853704029185,0.12487490500241284,0.9833356484677401,508,-0.09338181570922141,0.07806852506039377,0.23163728171745698,0.4258482576871132,18.43558688162184,0.9815711027548373
R1 x R3,q20 (≥ 0.018),q80 (≥ 2.09),255,39,0.048338135316261716,0.1623997564359318,0.7659710240258597,255,-0.0799245883552856,0.08231791779589376,0.3315852405171422,-1.5908856607787318,2.6357054655874346,0.5461162127522471
R1 x R3,q40 (≥ 0.09),all,810,126,-0.03812240710589945,0.08132379028330441,0.6392318135322073,810,-0.07769427421690876,0.04686706061262909,0.09736619446245136,1.2355250815348513,2.767456209460647,0.6552737210637817
