group,decade,cell,n_cell,n_usable,fitted,form,score,score_label,n,est,se,pval,ci_lo,ci_hi,bw
OECD,1990s,OECD 1990s,93,92,TRUE,binary,v2pariglef_neg,Economic left (negated v2pariglef),92,-0.3759044921841441,0.46434051105669977,0.41820178762200905,-1.285995170418198,0.5341861860499099,10.410182521100152
OECD,1990s,OECD 1990s,93,93,TRUE,binary,v2paanteli,Anti-elitism (v2paanteli),93,0.25018501690152717,0.5328922133629674,0.6387228484597369,-0.7942645289317227,1.294634562734777,10.886390685857778
OECD,1990s,OECD 1990s,93,93,TRUE,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),93,-0.31234798448836,0.4988301062736523,0.5312093102953668,-1.2900370271890058,0.6653410582122858,11.766063270046859
OECD,1990s,OECD 1990s,93,93,TRUE,continuous,v2xpa_popul,Populism (v2xpa_popul),93,0.1967029973618285,0.17848670228432853,0.27043572838760827,-0.1531245108347783,0.5465305055584353,14.161273267612462
OECD,1990s,OECD 1990s,93,93,TRUE,continuous,v2pariglef_neg,Economic left (negated v2pariglef),93,-2.2211501751079865,1.0612107644850683,0.03634612260124711,-4.301085053504938,-0.1412152967110356,14.174050457881753
OECD,1990s,OECD 1990s,93,93,TRUE,continuous,v2paanteli,Anti-elitism (v2paanteli),93,1.172886732963414,1.0120922313370762,0.24650780590965285,-0.8107775894900353,3.1565510554168634,13.604673467656381
OECD,1990s,OECD 1990s,93,93,TRUE,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),93,-1.1843480934097967,1.2094371883826798,0.32745372150752217,-3.554801424203233,1.1861052373836394,14.329650679910474
OECD,2000s,OECD 2000s,76,76,TRUE,binary,v2xpa_popul,Populism (v2xpa_popul),76,0.20570802628085644,0.312863347043656,0.5108586993014674,-0.40749286600736506,0.8189089185690779,8.829808350611225
OECD,2000s,OECD 2000s,76,73,TRUE,binary,v2pariglef_neg,Economic left (negated v2pariglef),73,-0.5834295057079161,0.3427535065128486,0.08872089701865254,-1.2552140340479139,0.08835502263208173,10.082140598345406
OECD,2000s,OECD 2000s,76,76,TRUE,binary,v2paanteli,Anti-elitism (v2paanteli),76,0.30287523770520675,0.3028535694616402,0.3172758845758845,-0.2907068510290074,0.8964573264394209,8.64323776256433
OECD,2000s,OECD 2000s,76,76,TRUE,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),76,-0.7714931538014461,0.19718234802374818,9.131250551384386e-5,-1.157963454315035,-0.3850228532878571,11.837035752210179
OECD,2000s,OECD 2000s,76,76,TRUE,continuous,v2xpa_popul,Populism (v2xpa_popul),76,0.09960247942378395,0.14979097178544523,0.5060868604399549,-0.19398243048494399,0.39318738933251185,5.944907695103613
OECD,2000s,OECD 2000s,76,75,TRUE,continuous,v2pariglef_neg,Economic left (negated v2pariglef),75,-0.276584850299307,0.8887357702492988,0.7556397913778411,-2.018474951760396,1.4653052511617823,10.39981797925873
OECD,2000s,OECD 2000s,76,76,TRUE,continuous,v2paanteli,Anti-elitism (v2paanteli),76,0.412640176138634,0.7934610448013322,0.6030280589054847,-1.1425148948074988,1.9677952470847668,5.937814174550945
OECD,2000s,OECD 2000s,76,76,TRUE,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),76,-0.3619385266759003,0.8327056409974505,0.6638138635941118,-1.9940115927542426,1.270134539402442,7.691530426907841
OECD,2010s,OECD 2010s,94,94,TRUE,binary,v2xpa_popul,Populism (v2xpa_popul),94,-0.06302730478836388,0.3431286098254211,0.8542612032169993,-0.7355470221114855,0.6094924125347578,20.69384062919484
OECD,2010s,OECD 2010s,94,94,TRUE,binary,v2pariglef_neg,Economic left (negated v2pariglef),94,-0.5064337094223245,0.3557154762779525,0.15453204263775777,-1.203623231670623,0.1907558128259742,11.280796318214472
OECD,2010s,OECD 2010s,94,94,TRUE,binary,v2paanteli,Anti-elitism (v2paanteli),94,-0.17325549373585458,0.42540021182198834,0.6838049476332366,-1.0070245879226616,0.6605136004509524,13.240317184616263
OECD,2010s,OECD 2010s,94,94,TRUE,binary,v2paminor,Minority rights (v2paminor; higher = MORE supportive),94,-0.8326910267447383,0.16116605003393028,2.383075393300082e-7,-1.1485706803418219,-0.5168113731476547,14.865021387677832
OECD,2010s,OECD 2010s,94,94,TRUE,continuous,v2xpa_popul,Populism (v2xpa_popul),94,-0.08921622607800439,0.19688781482778903,0.6504534864661269,-0.47510925213526195,0.29667679997925317,12.421093679632419
OECD,2010s,OECD 2010s,94,94,TRUE,continuous,v2pariglef_neg,Economic left (negated v2pariglef),94,-1.4015698995020633,1.0054424828917123,0.16332268696805483,-3.372200954496348,0.5690611554922216,11.081101929698926
OECD,2010s,OECD 2010s,94,94,TRUE,continuous,v2paanteli,Anti-elitism (v2paanteli),94,0.009301452954527778,1.2673901596572157,0.9941443295681277,-2.474737614334083,2.4933405202431387,13.301467082384232
OECD,2010s,OECD 2010s,94,94,TRUE,continuous,v2paminor,Minority rights (v2paminor; higher = MORE supportive),94,0.704666558428692,0.698270206276682,0.31289777128050106,-0.6639178973509587,2.073251014208343,10.55131347088082
Non-OECD,1970s,Non-OECD 1970s,66,66,TRUE,binary,v2xpa_popul,Populism (v2xpa_popul),66,0.7082971206988964,0.8053390808679526,0.37912929158238806,-0.8701384731448802,2.286732714542673,18.57257289196969
Non-OECD,1970s,Non-OECD 1970s,66,66,TRUE,binary,v2pariglef_neg,Economic left (negated v2pariglef),66,-0.15814055333769278,0.5946866348815028,0.7902989006083043,-1.3237049397927587,1.0074238331173733,26.458086098254785
Non-OECD,1970s,Non-OECD 1970s,66,66,TRUE,binary,v2paanteli,Anti-elitism (v2paanteli),66,0.7118671342890225,0.8076915612854653,0.37812293359246174,-0.8711792364474148,2.29491350502546,18.433236510449326
