window,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
6,backsliding_Nyr,Y_legcon,Legislative constraints,institutions,instr-antiplural_w6_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.04361990939682447,0.46440390556169175,1229,-0.00931644346459056,0.02362396240655464,0.6933122199140218,0.1155730082828286,0.377431948463944,0.7594456236504505,26.689738699338346
6,backsliding_Nyr,Y_hos_power,HOS,exec_power,instr-antiplural_w6_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.04361990939682447,0.46440390556169175,1258,0.00652944756853918,0.01504792024881089,0.6643535808987147,-0.2939774901266285,0.47546874005563,0.5363842994947943,24.52233213400665
6,backsliding_Nyr,Y_hog_power,HOG,exec_power,instr-antiplural_w6_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.04361990939682447,0.46440390556169175,637,-0.00376851506079476,0.01151661031192367,0.7434982223852846,0.08706220341195144,0.8308092609454153,0.9165408205997844,19.482659742947583
6,backsliding_Nyr,Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w6_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.04361990939682447,0.46440390556169175,1258,0.0333761819940559,0.02885550922238375,0.24740890867865076,-0.9354922236766674,1.4409372517879335,0.5161930730639438,21.00675745180868
6,backsliding_Nyr,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w6_trt-ert_gapany_illibany,backsliding_Nyr,1347,-0.04361990939682447,0.46440390556169175,1258,-0.02556346473716058,0.02912590484579033,0.3801129174346861,0.7575207566156665,1.6227684906958129,0.6406374972792299,17.743326664136692
6,backsliding_union_Nyr,Y_gdp_growth,PWT,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1179,-0.0598856844133499,0.03090805298367139,0.05267899169082812,11.904785732331632,42.97355321710126,0.7817602460294477,16.931327696439002
6,backsliding_union_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1204,-0.04411933069393768,0.02869213671262985,0.12412682570182045,11.958922927880414,47.32093337753748,0.8004849731103911,16.933327725875028
6,backsliding_union_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,919,-0.05115147621661951,0.0256043350168021,0.04574200849824299,1.7680531793915792,3.4193532601695766,0.605105623029657,18.566667178382453
6,backsliding_union_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1097,-0.04605268139537144,0.23193532486303947,0.8426082839674014,6.089706929041156,23.19659279416917,0.7929160024980554,23.51393579523233
6,backsliding_union_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,854,0.38176079960490616,0.6009708420778904,0.5252718100511453,-10.86650711847199,15.562856763901731,0.4850312127152877,26.483984102802083
6,backsliding_union_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1082,-1.0888249780448351,2.965225566110232,0.7134713107740982,-416.55522203281726,1058.9871282631586,0.6940591559736236,15.862989393622769
6,backsliding_union_Nyr,Y_top10_share,Top-10% income share,top10,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1116,-0.8132372866655648,0.6097836691938822,0.18231896674226003,19.048762249355267,31.49419780139264,0.545289287027483,19.452425095543937
6,backsliding_union_Nyr,Y_gini_disp,Disposable,gini,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,946,0.5977329099672477,0.33446796173367654,0.07391880767614634,-7.175893861001916,7.375408783551925,0.33057883458419174,20.989017080852133
6,backsliding_union_Nyr,Y_gini_mkt,Market,gini,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,946,0.6893274212783033,0.3632437110813697,0.0577356739897318,-8.178623166700705,7.791589814229472,0.29386838044812896,22.094009933200795
6,backsliding_union_Nyr,Y_debt,Debt / GDP,fiscal,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1165,11.975880702171214,14.458781212478934,0.40751345824375806,-3672.161409842785,14664.940612201992,0.8022748511200395,19.337481653778433
6,backsliding_union_Nyr,Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1017,1.84576199934933,1.1568714428133693,0.1106055667024832,-68.650466797410985,108.347709190921,0.5263337175781337,15.392586453438849
6,backsliding_union_Nyr,Y_checks_balances,Checks & balances,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1229,0.00441713124513991,0.01862173307523405,0.8124992967928648,-0.11023569056129076,0.47353116301531806,0.8159205900099422,20.748302190919837
6,backsliding_union_Nyr,Y_jucon,Judicial constraints,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1258,-0.00876902129203692,0.01855631602848829,0.6365252572489579,0.3525286220007897,1.126216331997811,0.7542652071192497,24.175302754322992
6,backsliding_union_Nyr,Y_legcon,Legislative constraints,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1229,-0.00931644346459056,0.02362396240655464,0.6933122199140218,0.24816765243145017,0.782975508908452,0.7512780870415711,20.96186887689809
6,backsliding_union_Nyr,Y_hos_power,HOS,exec_power,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany,backsliding_union_Nyr,1347,-0.02318656316655579,0.6947193757464654,1258,0.00652944756853918,0.01504792024881089,0.6643535808987147,-1.3188075925126832,7.498827889526384,0.860397255065867,19.3206604376785
