outcome,spec,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gini_mkt,high_illiberal_score,673,0.04682796299678024,0.6232370527057097,471,-0.08601686722587315,0.5682667031350007,0.879686162520596,-1.524118291253727,8.302622333626362,0.8543502412522556,23.24234364617697
Y_gdp_growth,excl_indirect_election,1320,-0.013259141513772096,0.8137615756928469,1181,-0.055324927409782954,0.027919800047332514,0.04752783203129088,2.2975663824504817,9.49195378144107,0.8087382392992417,21.085950977927286
Y_inflation,excl_indirect_election,1320,-0.013259141513772096,0.8137615756928469,1111,-0.0997423506150566,0.1778451815527705,0.574907922831905,2.50607958379448,10.344043813375196,0.8085688539753801,23.85180535293514
Y_unemployment,excl_indirect_election,1320,-0.013259141513772096,0.8137615756928469,866,0.23963381023704555,0.5918176475746865,0.6855425166440184,-11.809351181264844,55.76617447685845,0.8322899940419989,21.518587739026778
Y_trade_pct_gdp,excl_indirect_election,1320,-0.013259141513772096,0.8137615756928469,1090,-1.2136012005946828,2.9930907773824407,0.6851338624647423,-16.78448193792152,118.71492260638614,0.8875659857903576,24.823665362195612
Y_top10_share,excl_indirect_election,1320,-0.013259141513772096,0.8137615756928469,1126,-0.605711352583663,0.5894380876646511,0.3041342130685857,17.68772063682867,58.24913068166928,0.7613896871312013,25.881498920399437
Y_gini_disp,excl_indirect_election,1320,-0.013259141513772096,0.8137615756928469,951,0.6410474065634606,0.333672278291544,0.05470792375401055,-9.252588217918923,12.280096426396673,0.45117223011038216,25.36439253182177
Y_gini_mkt,excl_indirect_election,1320,-0.013259141513772096,0.8137615756928469,951,0.6126268355716031,0.35649547373513724,0.08571089182173618,-10.892606885115475,16.72972423417722,0.5149864339084187,22.081068599708143
Y_gdp_growth,bermeo_Executive aggrandizement,1230,0.022923789007262475,0.4498368332154226,1103,-0.06884679479789647,0.032113149565710694,0.03204236406863529,-2.416620685149986,7.128050123179007,0.7345873573985364,17.437493430521858
Y_inflation,bermeo_Executive aggrandizement,1230,0.022923789007262475,0.4498368332154226,1035,-0.0688987105962463,0.18462975677209015,0.7090202124896976,4.435083067993873,45.68348800566633,0.9226606027683175,18.434139460678384
Y_unemployment,bermeo_Executive aggrandizement,1230,0.022923789007262475,0.4498368332154226,786,0.3546242585353908,0.5929297317836515,0.5497811030145403,1.2421393174463944,58.48451939377667,0.983055186423686,18.65401166432293
Y_trade_pct_gdp,bermeo_Executive aggrandizement,1230,0.022923789007262475,0.4498368332154226,1013,-0.9661531180928504,2.7161243092621916,0.7220576064005473,-932.5061728458187,13863.906243083664,0.9463735809455328,18.455207743413254
Y_top10_share,bermeo_Executive aggrandizement,1230,0.022923789007262475,0.4498368332154226,1052,-0.9330537540388768,0.538076608608002,0.08290854893389012,-28.692311434470064,84.3553567805618,0.7337539532827089,18.95850773935805
Y_gini_disp,bermeo_Executive aggrandizement,1230,0.022923789007262475,0.4498368332154226,891,0.7811227874478979,0.34226775121323183,0.02247765137873062,30.805360676289023,67.33417796147374,0.6473119770044629,21.281769018765328
Y_gini_mkt,bermeo_Executive aggrandizement,1230,0.022923789007262475,0.4498368332154226,891,0.8132515155513699,0.3675023438670161,0.026903493916067955,36.119203302680155,99.31933333199548,0.71610639300968,23.040175985656795
Y_gdp_growth,bermeo_Other/unclear,1209,0.019615981326169346,0.1246418473471176,1081,-0.061090142890894136,0.03180311644244531,0.05474615345072953,-10.223402364522585,19.20935870057033,0.5945809337293373,9.52146145206184
Y_inflation,bermeo_Other/unclear,1209,0.019615981326169346,0.1246418473471176,1013,-0.07502713592119326,0.2045608084559654,0.7137892442777605,-23.01695812589193,59.72309729250685,0.6999450959878555,20.538917920287716
Y_unemployment,bermeo_Other/unclear,1209,0.019615981326169346,0.1246418473471176,764,0.4694616501627163,0.6067813139096573,0.4391131451890546,47.59017335816815,139.2457573751166,0.7325231726773593,9.154115388235965
Y_trade_pct_gdp,bermeo_Other/unclear,1209,0.019615981326169346,0.1246418473471176,995,-0.20024866417531761,2.71294861601694,0.9411598315308951,-268.77443015062306,519.3289929459954,0.6047780399987334,9.726933418245146
Y_top10_share,bermeo_Other/unclear,1209,0.019615981326169346,0.1246418473471176,1030,-0.8042857373942321,0.531199657146991,0.13000222759888033,-60.712811882135604,98.06370941013084,0.5358399411593553,10.567515570213104
Y_gini_disp,bermeo_Other/unclear,1209,0.019615981326169346,0.1246418473471176,868,0.6639770649278363,0.33139882483805405,0.045117332245299346,-91.25476588896034,134.13913721385694,0.4963149453103862,8.669661956092316
Y_gini_mkt,bermeo_Other/unclear,1209,0.019615981326169346,0.1246418473471176,868,0.7904220172377054,0.36809270724001447,0.031765829509467144,NA,NA,NA,6.025623409890232
Y_gdp_growth,bermeo_Open-ended coup,1223,0.007015250194317678,0.4937267911866431,1096,-0.06245571610212902,0.03173628790279846,0.04907274557258077,-16.23189269384071,27.689067996536796,0.5577275072483103,12.201207177601342
Y_inflation,bermeo_Open-ended coup,1223,0.007015250194317678,0.4937267911866431,1024,-0.10653370775220039,0.1949246599825034,0.5846962660893251,23.45398930713204,44.158658825821924,0.5953286832101928,12.5306450825583
Y_unemployment,bermeo_Open-ended coup,1223,0.007015250194317678,0.4937267911866431,766,0.33402601922307434,0.6008101042552465,0.5782386165427285,NA,NA,NA,NA
Y_trade_pct_gdp,bermeo_Open-ended coup,1223,0.007015250194317678,0.4937267911866431,1005,-0.959747784738834,2.9373481524920644,0.7438648914272923,-308.88273613645526,1074.4440250796138,0.7737436964863273,11.908519136400503
Y_top10_share,bermeo_Open-ended coup,1223,0.007015250194317678,0.4937267911866431,1037,-0.7974465514056517,0.535040681525847,0.13610832722321503,-1167.0381632851672,9952.497473517005,0.9066533600697487,15.148984817643106
Y_gini_disp,bermeo_Open-ended coup,1223,0.007015250194317678,0.4937267911866431,876,0.6166006051427211,0.3250913949577908,0.057867642702058776,83.87920371260381,151.17583337273624,0.5790004651084651,16.300500488563774
Y_gini_mkt,bermeo_Open-ended coup,1223,0.007015250194317678,0.4937267911866431,876,0.7992876552695274,0.3598555660118436,0.026341844925721655,85.67448269969594,146.32927385402297,0.558217571321317,15.105858050318897
Y_gdp_growth,bermeo_Promissory coup,1216,-7.181308523848962e-4,0.9482261722541038,1089,-0.06407044437377209,0.0320532942790082,0.04562216470224249,4.751099324728501,7.520987679492224,0.5275749848652452,15.703420253772919
Y_inflation,bermeo_Promissory coup,1216,-7.181308523848962e-4,0.9482261722541038,1023,-0.06995470689849315,0.20371020565216352,0.7312952617693045,4.24942366153763,28.848052093183263,0.8828923436129685,18.85486904256112
Y_unemployment,bermeo_Promissory coup,1216,-7.181308523848962e-4,0.9482261722541038,772,0.35247280598298486,0.5979315266091162,0.555534692921003,-71.0037624938987,378.4620639535461,0.8511813618839986,22.283198316733635
Y_trade_pct_gdp,bermeo_Promissory coup,1216,-7.181308523848962e-4,0.9482261722541038,1003,1.3619364563409482,2.6182450882478587,0.6029440524382224,61.55293379477401,230.21873732002277,0.7891864690794872,12.80064516388828
Y_top10_share,bermeo_Promissory coup,1216,-7.181308523848962e-4,0.9482261722541038,1038,-0.7933170759852264,0.5315302455465986,0.13556408365638054,128.26431082136287,384.2236170221493,0.7385099245069933,20.11412861044765
Y_gini_disp,bermeo_Promissory coup,1216,-7.181308523848962e-4,0.9482261722541038,875,0.7329096447881809,0.34084946744310135,0.03153589100675965,-51.22911356180521,105.90868977277493,0.6285915529471862,16.819696601069168
Y_gini_mkt,bermeo_Promissory coup,1216,-7.181308523848962e-4,0.9482261722541038,875,0.8272558021139171,0.3715683470938986,0.025988114781372227,-34.61343621796975,42.92897382897894,0.42007251412016544,13.107265368076341
