country_name,aut_ep_id,ep_start,ep_end,start_year_used,outcome_label,prch_label,miss_reason
Somalia,SOM_1964_1970,1964,1970,1964,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Zanzibar,ZZB_1964_1964,1964,1964,1964,Autocracy deepening,No,Country has no elections in the spine at all
Burundi,BDI_1965_1967,1965,1967,1965,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Burkina Faso,BFA_1965_1967,1965,1967,1965,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Democratic Republic of the Congo,COD_1965_1966,1965,1966,1965,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Algeria,DZA_1965_1966,1965,1966,1965,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Argentina,ARG_1966_1967,1966,1967,1966,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Philippines,PHL_1966_1973,1966,1973,1966,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Uganda,UGA_1966_1972,1966,1972,1966,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Sierra Leone,SLE_1967_1968,1967,1968,1967,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Guyana,GUY_1968_1974,1968,1974,1968,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Peru,PER_1968_1969,1968,1969,1968,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Lesotho,LSO_1969_1971,1969,1971,1969,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Malaysia,MYS_1969_1970,1969,1970,1969,Autocracy deepening,No,Country has no elections in the spine at all
Sudan,SDN_1969_1969,1969,1969,1969,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Zambia,ZMB_1969_1974,1969,1974,1969,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Benin,BEN_1970_1973,1970,1973,1970,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Ecuador,ECU_1970_1973,1970,1973,1970,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Cambodia,KHM_1970_1975,1970,1975,1970,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Sri Lanka,LKA_1970_1989,1970,1989,1970,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Equatorial Guinea,GNQ_1971_1973,1971,1973,1971,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
India,IND_1971_1975,1971,1975,1971,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Chile,CHL_1972_1974,1972,1974,1972,Democratic breakdown,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Ghana,GHA_1972_1973,1972,1973,1972,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Madagascar,MDG_1972_1973,1972,1973,1972,Autocracy deepening,No,Matched
Seychelles,SYC_1972_1978,1972,1978,1972,Autocracy deepening,No,Matched
Honduras,HND_1973_1973,1973,1973,1973,Autocracy deepening,No,Matched
Rwanda,RWA_1973_1974,1973,1974,1973,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Eswatini,SWZ_1973_1974,1973,1974,1973,Autocracy deepening,No,Matched
Bahrain,BHR_1974_1976,1974,1976,1974,Autocracy deepening,No,No election in the pre-episode window
Argentina,ARG_1975_1977,1975,1977,1975,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Bangladesh,BGD_1975_1976,1975,1976,1975,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Laos,LAO_1975_1976,1975,1976,1975,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Suriname,SUR_1975_1975,1975,1975,1975,Democratic erosion,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Kuwait,KWT_1976_1976,1976,1976,1976,Autocracy deepening,No,Country has no elections in the spine at all
Thailand,THA_1976_1977,1976,1977,1976,Autocracy deepening,No,Matched
Pakistan,PAK_1977_1978,1977,1978,1977,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Mauritania,MRT_1978_1979,1978,1979,1978,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
