instrument,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
v2pariglef_neg,backsliding_Nyr,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-econleft_w5_trt-ert_gapany_illib0p818,backsliding_Nyr,665,0.17925144772008086,0.04051376300311912,640,0.01327876704007339,0.02072080182877475,0.5216251239804492,0.06727946762859952,0.10308556960995428,0.5139777485734762,14.84761416215782
v2pariglef_neg,backsliding_union_Nyr,Y_gdp_growth,PWT,growth,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,590,-0.02749351226016558,0.04174633675856655,0.5101622813452436,-0.1840022628579848,0.3184847535478848,0.5634378005472984,22.042478326044964
v2pariglef_neg,backsliding_union_Nyr,Y_gdp_growth_wb,World Bank,growth,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,614,0.0071371243095093,0.03620535263387293,0.8437266039986939,0.03542347034901166,0.22472307638751304,0.8747470586695687,16.773884863699966
v2pariglef_neg,backsliding_union_Nyr,Y_gdp_growth_imf,IMF WEO,growth,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,461,0.00422091793530618,0.02989573522847652,0.8877214555888042,0.03602268868114742,0.2903177906359686,0.9012517774122292,24.296796854506663
v2pariglef_neg,backsliding_union_Nyr,Y_inflation,"CPI, cumulative log",inflation,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,547,0.01826962530220016,0.18752872660892925,0.9223904202435916,0.05998232933879524,1.1422525395942282,0.9581204800143532,15.313241508724552
v2pariglef_neg,backsliding_union_Nyr,Y_unemployment,Unemployment rate,unemployment,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,439,-0.11932106062353208,0.702436088563614,0.8651143427100635,-2.291087595776875,8.26428763758013,0.7816054439690161,24.488127126384047
v2pariglef_neg,backsliding_union_Nyr,Y_trade_pct_gdp,Trade / GDP,trade,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,542,-2.6327499101951393,3.936110988365726,0.5035778652128976,-31.50681633324003,60.89598935944078,0.604885768158137,24.63113368635714
v2pariglef_neg,backsliding_union_Nyr,Y_top10_share,Top-10% income share,top10,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,578,-1.709965346767547,0.7464674770843247,0.02197826664787043,-9.29244714890268,6.224141642155842,0.13544544366381212,15.46870971973715
v2pariglef_neg,backsliding_union_Nyr,Y_gini_disp,Disposable,gini,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,472,-0.13383163347527782,0.4347615959381691,0.7582134929651829,-2.198981096760515,4.1511625134790675,0.5963015203979275,23.369634159239936
v2pariglef_neg,backsliding_union_Nyr,Y_gini_mkt,Market,gini,instr-econleft_w5_trt-ertOrDdcg_gapany_illib0p818,backsliding_union_Nyr,665,0.24003254260666365,0.01367671755574246,472,-0.5853090904223052,0.5083685137717995,0.24958908214759745,-2.7512197575228736,3.3530567563013616,0.41192489412831784,18.74569570370354
