pair,row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R2 x R3,q40 (≥ 0.405),q80 (≥ 2.09),213,83,-0.05324803068703138,0.06546885541828099,0.4160267230361362,204,-0.07463333111107777,0.08036487204985485,0.3530544213655356,1.2267522407732327,13.26558607592191,0.9263196249840158
R2 x R3,q60 (≥ 0.705),all,542,229,0.016840609063281935,0.04954601599576899,0.7339330796015048,523,-0.1593575848962559,0.08554486963132094,0.06248283926399296,-5.975814937907492,22.66814093213087,0.7920713986431052
R2 x R3,q60 (≥ 0.705),q20 (≥ 0.254),503,215,0.01550731095640679,0.04976100753138441,0.7553173303527313,485,-0.16115458240614,0.08300932020019651,0.05220935755747659,-6.351418096719114,20.964291283915745,0.7619175675871698
R2 x R3,q60 (≥ 0.705),q40 (≥ 0.834),428,182,0.019126783114732385,0.047765869048551256,0.6888414324424734,412,-0.1887076686888311,0.09310490328006757,0.04267995777439634,-9.283744088390192,22.73256871557975,0.682987685457422
R2 x R3,q60 (≥ 0.705),q60 (≥ 1.44),339,143,0.020709961393358116,0.054105146101490226,0.7018884620822756,328,-0.20542230733750327,0.10165995575782702,0.043312832274312055,-8.79030619104475,25.074569960468633,0.7259135338227629
R2 x R3,q60 (≥ 0.705),q80 (≥ 2.09),175,70,-0.11176315972054426,0.06168292730567602,0.07000199081941881,170,-0.1130765957337489,0.0639676593671091,0.07710854861735841,1.0630469420970698,0.8961211643642369,0.23551336021839464
R2 x R3,q80 (≥ 0.9),all,275,126,0.04040368766650575,0.0657052791197884,0.5386055695608192,262,-0.27352539274730964,0.14318402642685213,0.05609374665103389,193.84640391659903,452.5695698818929,0.6684152553208856
R2 x R3,q80 (≥ 0.9),q20 (≥ 0.254),253,116,0.047406455132751706,0.0672844874247969,0.4810795034379359,241,-0.27331815613577243,0.14948347305822113,0.06748695903674022,-5.534718761930556,32.79624907266192,0.8659848522728079
R2 x R3,q80 (≥ 0.9),q40 (≥ 0.834),213,95,0.08647876519174602,0.07404363619198272,0.24282965632037098,201,-0.3048996405752116,0.17270174228873195,0.0774849093681908,-1.0293582987924839,11.258331887370705,0.927150288834259
R2 x R3,q80 (≥ 0.9),q60 (≥ 1.44),180,79,0.06366800923696456,0.08787291354526329,0.4687303093596433,172,-0.32923945224486695,0.1855478480888213,0.0759940250898957,-14.534005575605995,24.4492751425445,0.5522075110348366
R2 x R3,q80 (≥ 0.9),q80 (≥ 2.09),102,45,-0.07736900032373756,0.107128463926613,0.47016679691828916,98,0.14709723329866603,0.11683349322868224,0.2080183822666114,1.824802867041882,2.640616294019932,0.48953293570052486
R2 x R4,all,all,1347,496,0.01745794410575638,0.018112069639726128,0.3351038102958821,1289,-0.053125954158510985,0.026745364453216368,0.04699323192751867,-3.042176273551332,2.6733756633411248,0.2551400432612504
R2 x R4,all,no prior episode,1242,431,0.0023947426870641825,0.020681886704739454,0.9078194732454423,1187,-0.04686101037075939,0.03109412934135814,0.13179287324789274,-1.7482704914560865,1.5404802525711707,0.2564228091991725
