vocab,is_plotted,group,decade,decade_start,tag,n_party_years,n_parties,mean_antiplural,mean_popul,tag_rank
ideology_wikipedia,TRUE,OECD,2010s,2010,right_wing_populism,78,39,0.44496153846153846,0.7261538461538461,2
ideology_wikipedia,FALSE,OECD,2010s,2010,euroscepticism,33,17,0.38327272727272726,0.7848181818181819,14
ideology_wikipedia,FALSE,OECD,1990s,1990,green_politics,27,13,0.030407407407407407,0.2574074074074074,12
ideology_wikipedia,TRUE,OECD,1970s,1970,social_democracy,84,33,0.1564047619047619,0.3074880952380952,1
ideology_wikipedia,TRUE,OECD,1980s,1980,social_democracy,79,33,0.15165822784810126,0.2990759493670886,1
ideology_wikipedia,TRUE,OECD,1990s,1990,christian_democracy,75,36,0.10817333333333333,0.21938666666666667,3
ideology_wikipedia,FALSE,OECD,1990s,1990,agrarianism,20,10,0.15195,0.36505,14
ideology_wikipedia,TRUE,OECD,2000s,2000,christian_democracy,76,36,0.0845,0.1978421052631579,2
ideology_wikipedia,TRUE,OECD,2010s,2010,christian_democracy,69,34,0.08942028985507247,0.20405797101449277,3
ideology_wikipedia,TRUE,OECD,1970s,1970,liberal_conservatism,34,13,0.1081764705882353,0.14605882352941177,4
ideology_wikipedia,TRUE,OECD,1970s,1970,pro_europeanism,27,11,0.06481481481481481,0.2327037037037037,6
ideology_wikipedia,TRUE,OECD,1980s,1980,liberal_conservatism,36,14,0.12227777777777778,0.1292222222222222,4
ideology_wikipedia,TRUE,OECD,1980s,1980,pro_europeanism,29,12,0.12103448275862068,0.2699655172413793,6
ideology_wikipedia,TRUE,OECD,1990s,1990,liberal_conservatism,47,19,0.16261702127659575,0.17261702127659576,7
ideology_wikipedia,TRUE,OECD,2000s,2000,liberal_conservatism,48,21,0.11408333333333334,0.19691666666666666,8
ideology_wikipedia,TRUE,OECD,2000s,2000,pro_europeanism,59,26,0.126135593220339,0.28311864406779663,4
ideology_wikipedia,TRUE,OECD,2010s,2010,liberal_conservatism,54,24,0.09346296296296297,0.22312962962962962,8
ideology_wikipedia,TRUE,OECD,2010s,2010,pro_europeanism,57,29,0.06271929824561404,0.2760526315789474,5
ideology_wikipedia,FALSE,OECD,1990s,1990,euroscepticism,18,8,0.4815,0.6594444444444445,16
ideology_wikipedia,FALSE,OECD,2000s,2000,euroscepticism,25,13,0.3872,0.6174,14
ideology_wikipedia,FALSE,OECD,2010s,2010,eco_socialism,23,11,0.10969565217391304,0.5076956521739131,18
ideology_wikipedia,FALSE,OECD,1970s,1970,conservative_liberalism,15,5,0.08926666666666667,0.14653333333333332,14
ideology_wikipedia,TRUE,OECD,1970s,1970,liberalism,30,11,0.06953333333333334,0.14746666666666666,5
ideology_wikipedia,TRUE,OECD,1980s,1980,liberalism,31,13,0.08283870967741935,0.15403225806451612,5
ideology_wikipedia,FALSE,OECD,1990s,1990,conservative_liberalism,15,7,0.047599999999999996,0.11706666666666667,19
ideology_wikipedia,FALSE,OECD,1990s,1990,liberalism,39,17,0.07148717948717949,0.1737948717948718,9
ideology_wikipedia,FALSE,OECD,2000s,2000,liberalism,32,17,0.096625,0.18915625,10
ideology_wikipedia,FALSE,OECD,2010s,2010,conservative_liberalism,20,9,0.16015,0.2052,19
ideology_wikipedia,FALSE,OECD,2010s,2010,liberalism,40,22,0.08715,0.19195,10
ideology_wikipedia,FALSE,OECD,1970s,1970,economic_liberalism,16,8,0.1774375,0.3235625,11
ideology_wikipedia,FALSE,OECD,1970s,1970,right_wing_populism,25,9,0.35568,0.45008,10
ideology_wikipedia,FALSE,OECD,1980s,1980,economic_liberalism,17,9,0.22717647058823529,0.27276470588235296,9
ideology_wikipedia,TRUE,OECD,1980s,1980,right_wing_populism,19,9,0.24347368421052631,0.45631578947368423,8
ideology_wikipedia,TRUE,OECD,2000s,2000,economic_liberalism,44,23,0.17022727272727273,0.37629545454545454,6
ideology_wikipedia,TRUE,OECD,2000s,2000,right_wing_populism,55,26,0.3507818181818182,0.6324363636363637,5
ideology_wikipedia,FALSE,OECD,2010s,2010,economic_liberalism,47,22,0.24704255319148935,0.4276808510638298,9
ideology_wikipedia,TRUE,OECD,1990s,1990,conservatism,76,37,0.16105263157894736,0.29125,2
ideology_wikipedia,TRUE,OECD,1970s,1970,christian_democracy,43,22,0.08718604651162791,0.10167441860465116,2
ideology_wikipedia,TRUE,OECD,1970s,1970,social_conservatism,23,11,0.19499999999999998,0.2679565217391304,7
ideology_wikipedia,TRUE,OECD,1970s,1970,conservatism,41,17,0.07614634146341463,0.17046341463414633,3
ideology_wikipedia,TRUE,OECD,1980s,1980,christian_democracy,49,20,0.06538775510204081,0.11302040816326529,2
ideology_wikipedia,TRUE,OECD,1980s,1980,conservatism,47,17,0.08021276595744681,0.17051063829787233,3
ideology_wikipedia,FALSE,OECD,1990s,1990,social_conservatism,36,16,0.15530555555555556,0.3823611111111111,10
ideology_wikipedia,FALSE,OECD,2000s,2000,social_conservatism,45,20,0.2205777777777778,0.4952666666666667,9
ideology_wikipedia,TRUE,OECD,2000s,2000,conservatism,67,31,0.16252238805970148,0.27188059701492534,3
ideology_wikipedia,TRUE,Non-OECD,1990s,1990,social_democracy,200,105,0.404565,0.5026,1
ideology_wikipedia,TRUE,Non-OECD,2000s,2000,social_democracy,242,141,0.4272603305785124,0.45989669421487606,1
ideology_wikipedia,TRUE,Non-OECD,2010s,2010,social_democracy,233,141,0.459098712446352,0.4509656652360515,1
ideology_wikipedia,TRUE,Non-OECD,1990s,1990,liberal_conservatism,52,29,0.4886153846153846,0.33692307692307694,8
ideology_wikipedia,TRUE,Non-OECD,1990s,1990,conservatism,144,71,0.5304722222222222,0.3003472222222222,2
ideology_wikipedia,FALSE,Non-OECD,2000s,2000,liberal_conservatism,73,36,0.4349178082191781,0.34336986301369865,9
ideology_wikipedia,TRUE,Non-OECD,2000s,2000,conservatism,151,81,0.5203311258278146,0.30752317880794705,2
ideology_wikipedia,TRUE,Non-OECD,2010s,2010,liberal_conservatism,73,40,0.4136027397260274,0.34965753424657536,8
ideology_wikipedia,TRUE,Non-OECD,2010s,2010,conservatism,134,71,0.5304328358208955,0.2843134328358209,2
ideology_wikipedia,TRUE,Non-OECD,1970s,1970,pan_africanism,19,13,0.7888421052631579,0.55,8
ideology_wikipedia,FALSE,Non-OECD,1990s,1990,progressivism,52,28,0.38103846153846155,0.5474038461538462,9
ideology_wikipedia,TRUE,Non-OECD,2000s,2000,liberalism,97,53,0.3840721649484536,0.3610515463917526,4
ideology_wikipedia,TRUE,Non-OECD,2010s,2010,liberalism,88,54,0.4451477272727273,0.3607840909090909,6
ideology_wikipedia,FALSE,Non-OECD,1990s,1990,african_nationalism,25,14,0.6639200000000001,0.37264,19
ideology_wikipedia,FALSE,Non-OECD,2000s,2000,african_nationalism,23,13,0.6357391304347826,0.3511739130434783,26
ideology_wikipedia,TRUE,Non-OECD,1970s,1970,conservatism,55,33,0.8408,0.23672727272727273,1
ideology_wikipedia,FALSE,Non-OECD,1970s,1970,republicanism,15,7,0.7893333333333333,0.30833333333333335,17
ideology_wikipedia,TRUE,Non-OECD,1970s,1970,anti_communism,31,16,0.857741935483871,0.20770967741935484,4
ideology_wikipedia,FALSE,Non-OECD,1970s,1970,national_conservatism,20,9,0.89655,0.22385,16
ideology_wikipedia,TRUE,Non-OECD,1970s,1970,social_conservatism,27,16,0.7637777777777778,0.2670740740740741,5
