score_y,score_x,vocab,is_plotted,group,decade,decade_start,tag,n_party_years,n_parties,mean_antiplural,mean_popul,tag_rank
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1970s,1970,left_wing,31,17,-2.6536451612903225,0.8102903225806452,3
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1980s,1980,left_wing,33,19,-2.3495151515151513,0.8022424242424242,3
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1980s,1980,centre_right,56,30,0.9624464285714285,0.5658928571428572,2
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1980s,1980,right_wing,37,17,1.2526486486486486,0.6592432432432432,4
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,2010s,2010,right_wing_extremism,21,14,1.5255714285714286,0.6477619047619048,6
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,OECD,1990s,1990,right_wing_extremism,18,11,1.5443333333333333,0.6216111111111111,6
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1980s,1980,centre_left,57,30,-0.9126491228070176,0.5584385964912281,1
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1970s,1970,centrism,16,11,-0.008250000000000007,0.4845,5
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1980s,1980,centrism,27,14,0.32737037037037037,0.3645185185185185,5
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1970s,1970,right_wing,24,14,1.1500833333333331,0.8593333333333333,4
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1970s,1970,centre_left,36,21,-0.9987222222222222,0.6658611111111111,1
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1970s,1970,centre_right,33,18,0.9188181818181819,0.6829090909090909,2
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,1990s,1990,far_left_politics,20,10,-2.43615,0.7767,6
v2pariglef,v2xpa_antiplural,rile_wikidata,TRUE,Non-OECD,2000s,2000,far_left_politics,19,9,-1.9142631578947369,0.808,6
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,1990s,1990,social_democracy,119,50,-1.1017310924369748,0.11578151260504202,1
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,1990s,1990,progressivism,17,8,-1.5241764705882352,0.073,17
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2000s,2000,social_democracy,112,49,-1.111169642857143,0.09130357142857143,1
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2000s,2000,progressivism,27,13,-1.6665185185185185,0.11451851851851852,13
v2pariglef,v2xpa_antiplural,ideology_wikipedia,TRUE,OECD,2010s,2010,social_democracy,136,54,-1.1031397058823529,0.11238235294117647,1
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2010s,2010,progressivism,36,19,-1.1909166666666666,0.16769444444444445,12
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2000s,2000,green_politics,33,16,-1.088,0.0633939393939394,11
v2pariglef,v2xpa_antiplural,ideology_wikipedia,FALSE,OECD,2010s,2010,green_politics,36,18,-1.1495,0.09013888888888888,13
